lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.07094,Caroline,51033
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.07094,Fredericksburg,51630
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.07094,King George,51099
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.07094,Spotsylvania,51177
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.07094,Stafford,51179
2020-08-02,Norfolk,602,68,609,68,0.11296,0.11166,0.11296,Norfolk,51710
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Amelia,51007
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Buckingham,51029
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Charlotte,51037
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Cumberland,51049
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Lunenburg,51111
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Nottoway,51135
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.0411,Prince Edward,51147
2020-08-02,Pittsylvania-Danville,210,14,213,14,0.06667,0.06573,0.06667,Danville,51590
2020-08-02,Pittsylvania-Danville,210,14,213,14,0.06667,0.06573,0.06667,Pittsylvania,51143
2020-08-02,Portsmouth,362,45,363,45,0.12431,0.12397,0.12431,Portsmouth,51740
2020-08-02,Prince William,798,72,829,75,0.09023,0.09047,0.09023,Manassas City,51683
2020-08-02,Prince William,798,72,829,75,0.09023,0.09047,0.09023,Manassas Park,51685
2020-08-02,Prince William,798,72,829,75,0.09023,0.09047,0.09023,Prince William,51153
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Culpeper,51047
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Fauquier,51061
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Madison,51113
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Orange,51137
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Rappahannock,51157
2020-08-02,New River,99,6,115,7,0.06061,0.06087,0.06061,Floyd,51063
2020-08-02,New River,99,6,115,7,0.06061,0.06087,0.06061,Giles,51071
2020-08-02,New River,99,6,115,7,0.06061,0.06087,0.06061,Montgomery,51121
2020-08-02,New River,99,6,115,7,0.06061,0.06087,0.06061,Pulaski,51155
2020-08-02,New River,99,6,115,7,0.06061,0.06087,0.06061,Radford,51750
2020-08-02,Richmond,174,16,186,17,0.09195,0.0914,0.09195,Richmond City,51760
2020-08-02,Southside,76,6,76,6,0.07895,0.07895,0.07895,Brunswick,51025
2020-08-02,Southside,76,6,76,6,0.07895,0.07895,0.07895,Halifax,51083
2020-08-02,Southside,76,6,76,6,0.07895,0.07895,0.07895,Mecklenburg,51117
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742,Albemarle,51003
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742,Charlottesville,51540
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742,Fluvanna,51065
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742,Greene,51079
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742,Louisa,51109
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06742,Nelson,51125
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Essex,51057
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Gloucester,51073
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,King and Queen,51097
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,King William,51101
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Lancaster,51103
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Mathews,51115
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Middlesex,51119
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Northumberland,51133
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Richmond County,51159
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06316,Westmoreland,51193
2020-08-02,Virginia Beach,1089,82,1112,84,0.0753,0.07554,0.0753,Virginia Beach,51810
2020-08-02,Western Tidewater,350,56,357,57,0.16,0.15966,0.16,Franklin City,51620
2020-08-02,Western Tidewater,350,56,357,57,0.16,0.15966,0.16,Isle of Wight,51093
2020-08-02,Western Tidewater,350,56,357,57,0.16,0.15966,0.16,Southampton,51175
2020-08-02,Western Tidewater,350,56,357,57,0.16,0.15966,0.16,Suffolk,51800
2020-08-02,West Piedmont,155,18,162,19,0.11613,0.11728,0.11613,Franklin County,51067
2020-08-02,West Piedmont,155,18,162,19,0.11613,0.11728,0.11613,Henry,51089
2020-08-02,West Piedmont,155,18,162,19,0.11613,0.11728,0.11613,Martinsville,51690
2020-08-02,West Piedmont,155,18,162,19,0.11613,0.11728,0.11613,Patrick,51141
