STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Increasing,44% ^Increasing^,44,126058,1736,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,Minimal ^Level 1^,Green,8853,20,87% ^Severely constrained^,77% ^Elevated^,1.2 ^1.1 - 1.3^,63.0,12.71,8.86,12.0,13.86,16.43,16.43,14.14,14.43,14.43,14.57,16.71,20.14,21.29,22.57
Alaska,Alaska,Red,Decreasing,-15% ^Decreasing^,-15,6125,126,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,67,67,74,77,75,71,Insufficient Data ^Level 0^,Green,2590,111,53% ^Normal^,72% ^Elevated^,1.0 ^0.8 - 1.2^,57.0,0.43,0.29,0.29,0.43,0.43,0.57,0.57,1.0,1.14,1.14,1.0,0.86,0.71,0.71
Arizona,Arizona,Red,Decreasing,-45% ^Decreasing^,-45,201835,2350,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,557,551,537,485,508,489,Minimal ^Level 1^,Green,6744,42,63% ^Normal^,79% ^Elevated^,0.8 ^0.7 - 0.9^,284.0,47.14,41.0,43.0,37.86,37.71,37.86,37.86,37.57,37.43,35.0,41.43,35.86,37.0,36.86
Arkansas,Arkansas 😷,Bruised Red,Increasing,41% ^Increasing^,41,61224,650,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,544,569,562,597,612,619,Minimal ^Level 1^,Green,7619,37,68% ^Normal^,67% ^Normal^,1.1 ^1.0 - 1.2^,66.0,7.57,9.29,8.43,10.86,10.57,12.57,13.29,13.14,14.43,14.0,13.29,14.0,13.86,14.43
California,California 😷,Red,Decreasing,-39% ^Decreasing^,-39,704085,7929,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,Minimal ^Level 1^,Green,102974,62,69% ^Normal^,72% ^Elevated^,0.8 ^0.7 - 0.9^,94.0,124.86,125.0,125.43,117.86,120.14,130.0,130.0,130.71,126.29,123.43,124.14,120.86,110.14,111.57
Colorado,Colorado,Yellow,Decreasing,-11% ^Decreasing^,-11,57223,497,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,310,299,302,312,308,297,Minimal ^Level 1^,Green,9172,94,57% ^Normal^,63% ^Normal^,1.0 ^0.9 - 1.1^,131.0,4.57,5.29,6.29,7.43,6.71,6.71,6.71,6.57,5.43,5.0,2.86,4.0,4.0,4.0
Connecticut,Connecticut 😷,Green,Increasing,52% ^Increasing^,52,52879,148,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,129,131,139,139,139,124,Minimal ^Level 1^,Green,13626,254,48% ^Normal^,74% ^Elevated^,1.0 ^0.9 - 1.2^,293.0,1.71,1.0,1.14,1.0,1.0,1.0,0.57,1.0,0.86,1.0,0.71,0.71,0.71,0.71
Delaware,Delaware 😷,Yellow,Decreasing,-46% ^Decreasing^,-46,17429,94,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,49,37,45,74,64,70,Minimal ^Level 1^,Green,1907,83,75% ^Elevated^,74% ^Elevated^,0.9 ^0.6 - 1.2^,171.0,0.29,0.57,0.29,1.0,1.0,1.0,1.57,1.43,1.29,1.29,0.57,0.57,0.57,0.14
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-18% ^Decreasing^,-18,13992,71,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,53,55,55,56,53,50,Minimal ^Level 1^,Green,3040,183,75% ^Elevated^,86% ^Constrained^,1.0 ^0.7 - 1.2^,190.0,0.86,1.0,1.0,1.14,1.0,1.0,1.0,0.71,0.71,0.57,0.43,0.14,0.29,0.43
Florida,Florida,Bruised Red,Decreasing,-44% ^Decreasing^,-44,623471,9040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,Minimal ^Level 1^,Green,24055,25,75% ^Elevated^,58% ^Normal^,0.8 ^0.7 - 0.9^,144.0,172.57,167.0,162.71,146.86,133.0,125.0,122.86,117.71,115.0,117.86,113.57,119.71,114.43,113.86
