STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-19% ^Decreasing^,-19,141087,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,988,856,883,897,901,835,920,927,936,953,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,6053,19,81% ^Constrained^,68% ^Normal^,0.9 ^0.8 - 1.0^,100.0,22.43,22.71,17.57,16.29,13.43,11.0,9.71,9.71,9.57,10.71,10.71,11.29,15.71,15.29
Alaska,Alaska,Red,Increasing,7% ^Increasing^,7,7365,84,85,83,76,77,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,81,81,80,82,79,81,77,83,84,82,Insufficient Data ^Level 0^,0.4% ^0.0% - 0.7%^,Green,2375,88,49% ^Normal^,49% ^Normal^,1.1 ^0.9 - 1.2^,60.0,0.43,0.43,0.71,0.71,0.71,0.43,0.43,0.29,0.43,0.29,0.29,0.29,0.29,0.29
Arizona,Arizona,Yellow,Decreasing,-12% ^Decreasing^,-12,209907,883,873,784,740,749,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,590,529,526,436,406,373,392,394,452,481,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,8466,53,50% ^Normal^,62% ^Normal^,0.8 ^0.7 - 0.9^,300.0,28.71,27.57,28.57,27.29,27.14,25.29,26.57,20.43,16.71,15.43,14.43,14.71,17.57,17.14
Arkansas,Arkansas 😷,Bruised Red,Flat,4% ^Flat^,4,72219,439,443,428,466,601,558,545,555,544,569,562,597,612,619,589,584,680,728,693,624,722,751,735,614,615,641,713,621,657,709,Minimal ^Level 1^,0.9% ^0.5% - 1.2%^,Green,12555,54,71% ^Elevated^,67% ^Normal^,1.0 ^0.9 - 1.1^,68.0,17.43,16.71,15.71,15.71,15.86,14.71,12.43,11.29,11.43,12.43,12.43,12.0,13.29,32.71
California,California 😷,Red,Decreasing,-30% ^Decreasing^,-30,762963,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,4450,4302,3925,3670,3415,3294,3254,3220,3157,3348,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,93818,85,67% ^Normal^,70% ^Elevated^,0.8 ^0.7 - 0.9^,156.0,111.0,114.29,115.57,114.86,113.29,105.71,96.86,93.0,85.57,86.86,88.57,94.14,99.0,110.57
Colorado,Colorado,Yellow,Increasing,20% ^Increasing^,20,62099,333,313,306,287,293,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,293,295,271,272,271,262,274,293,316,346,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,9995,87,54% ^Normal^,61% ^Normal^,1.1 ^1.0 - 1.2^,122.0,2.57,3.71,3.29,3.29,3.29,2.43,2.14,4.14,4.0,3.29,3.29,3.29,4.0,5.29
Connecticut,Connecticut 😷,Yellow,Increasing,51% ^Increasing^,51,55166,82,87,93,89,89,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,69,111,109,126,137,137,137,219,178,185,Minimal ^Level 1^,0.2% ^0.1% - 0.4%^,Green,14508,238,50% ^Normal^,75% ^Elevated^,1.3 ^1.1 - 1.4^,204.0,0.43,0.43,0.43,0.43,0.43,1.14,1.0,1.43,1.71,1.71,1.71,2.43,1.57,1.86
Delaware,Delaware 😷,Red,Increasing,37% ^Increasing^,37,19234,128,135,107,61,62,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,117,110,108,116,102,119,115,98,118,132,Minimal ^Level 1^,0.3% ^0.0% - 0.6%^,Green,1705,39,73% ^Elevated^,72% ^Elevated^,1.1 ^0.9 - 1.2^,98.0,0.29,0.29,0.57,0.71,0.57,0.57,0.43,1.0,1.0,0.71,0.86,1.14,1.29,1.43
District of Columbia,District of Columbia 😷,Yellow,Flat,4% ^Flat^,4,14743,61,56,55,50,54,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,46,45,44,40,44,45,45,44,46,51,Minimal ^Level 1^,0.0% ^-0.2% - 0.2%^,Green,2940,175,77% ^Elevated^,82% ^Constrained^,1.0 ^0.7 - 1.3^,199.0,0.57,0.86,0.86,0.71,0.57,0.57,1.0,1.0,0.71,0.71,0.71,0.71,0.71,0.29
Florida,Florida,Bruised Red,Decreasing,-24% ^Decreasing^,-24,671201,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,3543,2722,2672,2531,2596,2529,2509,2494,2679,2722,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,21825,24,76% ^Elevated^,53% ^Normal^,0.9 ^0.8 - 1.0^,168.0,112.71,114.86,102.0,105.43,98.86,78.0,88.29,97.43,107.86,113.29,109.0,111.0,125.57,118.71
